timestamp,call_type,subject,grade,chapter_number,chapter_title,input_tokens,output_tokens,total_tokens,cost_inr,cache_write_input_tokens,cache_read_input_tokens
2026-07-25T12:02:09,canonical_generation,social_sciences,ix,5,State and Society up to 1000 CE,18975,52764,71739,78.05,0,0
2026-07-25T18:21:13,canonical_generation,social_sciences,ix,5,State and Society up to 1000 CE,19222,46189,65411,69.05,0,0
2026-07-26T11:36:36,canonical_generation,social_sciences,ix,5,State and Society up to 1000 CE,19542,50424,69966,74.9787,0,0
2026-07-26T12:35:08,seam_polish,social_sciences,ix,5,State and Society up to 1000 CE,18046,5614,23660,12.73,0,0
2026-07-26T12:35:57,seam_polish,social_sciences,ix,5,State and Society up to 1000 CE,17977,5252,23229,12.21,0,0
2026-07-26T18:03:53,seam_polish,social_sciences,ix,5,State and Society up to 1000 CE,12000,2128,14128,6.25,0,0
2026-07-29T19:33:00,canonical_generation,social_sciences,ix,3,Atmosphere and Climate,16410,30057,46467,46.0078,0,0
2026-07-29T20:04:38,rule16_probe,social_sciences,ix,3,Atmosphere and Climate,3050,278,3328,1.2254,0,0
2026-07-29T20:07:28,rule16_probe,social_sciences,ix,3,Atmosphere and Climate,3108,238,3346,1.1862,0,0
2026-07-30T21:01:14,mcq_probe,social_sciences,ix,3,Atmosphere and Climate,3947,3510,7457,5.9332,0,0
